ID;Survey;Year;Month;Day;Time;Shift;DayType;Cloud ;Wind;Precip;Anglers; Rods;Total Person Hr Fished;RodHours;TotalCaught;KOCatch;CTCatch;RBCatch;BTCatch;LTCatch;OtherCatch;Kept;KORelease;CTRelease;RBRelease;BTRelease;LTRelease;OTherRelease;Gear;Vessel;Method;Sought
1;1;2014;May;6;11:20;AM;WK;Overcast;0;None;2;2;8;8;10;10;0;0;0;0;0;8;8;0;0;0;0;0;Flies;Boat;Trolling;KO
2;2;2014;May;6;13:30;AM;WK;Overcast;0;None;1;2;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Bait;Boat;Trolling;KO
3;1;2014;May;11;15:30;PM;WKND;Clear;0;None;1;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Both;Boat;Both;NP
4;2;2014;May;11;15:45;PM;WKND;Clear;0;None;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Both;Boat;Both;NP
5;3;2014;May;11;16:00;PM;WKND;Clear;0;None;3;3;8;8;2;1;1;0;0;0;0;2;1;1;0;0;0;0;Lures;Boat;Trolling;KO + CT
6;4;2014;May;11;16:50;PM;WKND;Clear;0;None;2;3;10;15;1;1;0;0;0;0;0;1;1;0;0;0;0;0;Both;Boat;Trolling;KO + LT
7;5;2014;May;11;17:51;PM;WKND;Clear;0;None;2;2;4;4;1;1;0;0;0;0;0;1;1;0;0;0;0;0;Both;Boat;Trolling;KO
8;6;2014;May;11;17:00;PM;WKND;Clear;0;None;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Both;Boat;Trolling;KO + RB
9;7;2014;May;11;18:20;PM;WKND;Clear;0;None;3;3;18;18;2;1;1;0;0;0;0;2;1;1;0;0;0;0;Lures;Boat;Trolling;NP
10;8;2014;May;11;18:40;PM;WKND;Clear;0;None;2;2;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Both;Boat;Trolling;NP
11;9;2014;May;11;19:30;PM;WKND;Clear;0;None;2;2;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Flies;Boat;Casting;KO
12;10;2014;May;11;19:40;PM;WKND;Clear;0;None;2;2;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Flies;Boat;Trolling;KO
13;1;2014;May;12;15:30;PM;WK;Clear;0;None;2;2;12;12;4;4;0;0;0;0;0;3;3;0;0;0;0;0;Lures;Boat;Trolling;KO
14;2;2014;May;12;15:50;PM;WK;Clear;0;None;2;2;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Lures;Boat;Trolling;KO + BT
15;3;2014;May;12;16:25;PM;WK;Clear;0;None;2;2;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Both;Boat;Trolling;KO
16;4;2014;May;12;17:25;PM;WK;Clear;0;None;1;1;7;7;1;0;1;0;0;0;0;1;0;1;0;0;0;0;Both;Boat;Trolling;NP
17;5;2014;May;12;19:45;PM;WK;Clear;0;None;3;3;9;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Both;Boat;Casting;NP
18;6;2014;May;12;19:50;PM;WK;Clear;0;None;1;2;6;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Both;Boat;Trolling;KO
19;1;2014;May;16;10:00;AM;WKND;Clear;0;None;2;2;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Bait;Shore;Casting;NP
20;2;2014;May;16;11:00;AM;WKND;Clear;3;None;2;2;8;8;6;6;0;0;0;0;0;6;6;0;0;0;0;0;Lures;Boat;Trolling;
21;1;2014;May;21;13:10;AM;WK;Partly Cloudy;0;None;2;2;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Both;Boat;Trolling;KO
22;1;2014;May;29;16:00;PM;WK;Overcast;0;Light Rain;3;3;15;15;2;1;0;0;0;0;1;1;1;0;0;0;0;0;Flies;Boat;Trolling;KO
23;2;2014;May;29;19:45;PM;WK;Overcast;0;None;2;2;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Lures;Boat;Trolling;RB
24;1;2014;May;31;11:00;AM;WKND;Clear;3;None;2;2;8;8;4;3;0;1;0;0;0;4;3;0;1;0;0;0;Flies;Boat;Trolling;KO + RB
25;2;2014;May;31;13:00;AM;WKND;Clear;0;None;2;2;10;10;8;8;0;0;0;0;0;3;3;0;0;0;0;0;Flies;Boat;Trolling;KO
26;3;2014;May;31;13:15;AM;WKND;Clear;3;None;2;2;9.5;9.5;1;0;0;0;0;0;1;0;0;0;0;0;0;0;Lures;Boat;Trolling;RB
27;4;2014;May;31;13:30;AM;WKND;Clear;3;None;2;2;7;7;2;2;0;0;0;0;0;0;0;0;0;0;0;0;Lures;Boat;Trolling;KO
28;5;2014;May;31;13:35;AM;WKND;Clear;3;None;2;2;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Lures;Boat;Trolling;NP
29;6;2014;May;31;13:40;AM;WKND;Clear;3;None;2;2;7;7;2;0;0;0;0;0;2;0;;0;0;0;0;0;Lures;Boat;Casting;NP
30;7;2014;May;31;14:00;AM;WKND;Clear;1;None;4;4;11;11;3;3;0;0;0;0;0;2;2;0;0;0;0;0;Both;Boat;Trolling;KO
31;8;2014;May;31;14:15;AM;WKND;Clear;1;None;1;1;7;7;0;0;0;0;0;0;0;0;;0;0;0;0;0;Lures;Boat;Trolling;KO
32;1;2014;Jun;3;10:15;AM;WK;Overcast;0;None;2;2;5;5;15;15;0;0;0;0;0;9;9;0;0;0;0;0;Lures;Boat;Trolling;KO
33;2;2014;Jun;3;11:30;AM;WK;Overcast;0;None;2;2;7;7;10;10;0;0;0;0;0;10;10;0;0;0;0;0;Bait;Boat;Trolling;KO
34;3;2014;Jun;3;14:20;AM;WK;Partly Cloudy;0;None;1;2;5;10;12;2;0;0;0;0;10;2;2;0;0;0;0;0;Bait;Boat;Trolling;KO
35;1;2014;Jun;6;09:30;AM;WKND;Clear;2;None;2;2;6;6;10;10;0;0;0;0;0;10;10;0;0;0;0;0;Flies;Boat;Trolling;KO
36;2;2014;Jun;6;11:00;AM;WKND;Partly Cloudy;0;None;1;2;6;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Lures;Boat;Trolling;KO
37;3;2014;Jun;6;12:00;AM;WKND;Overcast;3;None;2;2;6;6;2;2;0;0;0;0;0;2;2;0;0;0;0;0;Both;Boat;Trolling;KO
38;4;2014;Jun;6;13:15;AM;WKND;Clear;3;None;2;2;8;8;4;4;0;0;0;0;0;4;4;0;0;0;0;0;Lures;Boat;Trolling;KO
